"","X.1","X","Well","MutantMedia","PlasmidMedia","Media","StrainPlasmid","Strain","MutantPlasmid","Mutant","Plasmid"
"1",1,1,"A1","DeletionGlu","YHGlu","Glu","2490YH",2490,"DeletionYH","Deletion","YH"
"2",2,2,"A2","DeletionSer","YHSer","Ser","2490YH",2490,"DeletionYH","Deletion","YH"
"3",3,3,"A3","DeletionGlu","YHGlu","Glu","2490YH",2490,"DeletionYH","Deletion","YH"
"4",4,4,"A4","DeletionSer","YHSer","Ser","2490YH",2490,"DeletionYH","Deletion","YH"
"5",5,5,"A5","NANA","NANA",NA,"NANA",NA,"NANA",NA,NA
"6",6,6,"A6","NANA","NANA",NA,"NANA",NA,"NANA",NA,NA
"7",7,7,"A7","NANA","NANA",NA,"NANA",NA,"NANA",NA,NA
"8",8,8,"A8","NANA","NANA",NA,"NANA",NA,"NANA",NA,NA
"9",9,9,"A9","NANA","NANA",NA,"NANA",NA,"NANA",NA,NA
"10",10,10,"A10","NANA","NANA",NA,"NANA",NA,"NANA",NA,NA
"11",11,11,"A11","NANA","NANA",NA,"NANA",NA,"NANA",NA,NA
"12",12,12,"A12","NANA","YHNA",NA,"NAYH",NA,"NAYH",NA,"YH"
"13",13,13,"B1","DeletionGlu","EVGlu","Glu","2490EV",2490,"DeletionEV","Deletion","EV"
"14",14,14,"B2","DeletionSer","EVSer","Ser","2490EV",2490,"DeletionEV","Deletion","EV"
"15",15,15,"B3","DeletionGlu","EVGlu","Glu","2490EV",2490,"DeletionEV","Deletion","EV"
"16",16,16,"B4","DeletionSer","EVSer","Ser","2490EV",2490,"DeletionEV","Deletion","EV"
"17",17,17,"B5","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"18",18,18,"B6","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"19",19,19,"B7","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"20",20,20,"B8","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"21",21,21,"B9","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"22",22,22,"B10","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"23",23,23,"B11","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"24",24,24,"B12","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"25",25,25,"C1","ControlGlu","YHGlu","Glu","2491YH",2491,"ControlYH","Control","YH"
"26",26,26,"C2","ControlSer","YHSer","Ser","2491YH",2491,"ControlYH","Control","YH"
"27",27,27,"C3","ControlGlu","YHGlu","Glu","2491YH",2491,"ControlYH","Control","YH"
"28",28,28,"C4","ControlSer","YHSer","Ser","2491YH",2491,"ControlYH","Control","YH"
"29",29,29,"C5","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"30",30,30,"C6","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"31",31,31,"C7","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"32",32,32,"C8","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"33",33,33,"C9","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"34",34,34,"C10","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"35",35,35,"C11","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"36",36,36,"C12","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"37",37,37,"D1","ControlGlu","EVGlu","Glu","2491EV",2491,"ControlEV","Control","EV"
"38",38,38,"D2","ControlSer","EVSer","Ser","2491EV",2491,"ControlEV","Control","EV"
"39",39,39,"D3","ControlGlu","EVGlu","Glu","2491EV",2491,"ControlEV","Control","EV"
"40",40,40,"D4","ControlSer","EVSer","Ser","2491EV",2491,"ControlEV","Control","EV"
"41",41,41,"D5","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"42",42,42,"D6","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"43",43,43,"D7","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"44",44,44,"D8","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"45",45,45,"D9","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"46",46,46,"D10","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"47",47,47,"D11","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"48",48,48,"D12","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"49",49,49,"E1","DeletionGlu","YHGlu","Glu","2490YH",2490,"DeletionYH","Deletion","YH"
"50",50,50,"E2","DeletionSer","YHSer","Ser","2490YH",2490,"DeletionYH","Deletion","YH"
"51",51,51,"E3","DeletionGlu","YHGlu","Glu","2490YH",2490,"DeletionYH","Deletion","YH"
"52",52,52,"E4","DeletionSer","YHSer","Ser","2490YH",2490,"DeletionYH","Deletion","YH"
"53",53,53,"E5","DeletionNA","YHNA",NA,"2490YH",2490,"DeletionYH","Deletion","YH"
"54",54,54,"E6","DeletionNA","YHNA",NA,"2490YH",2490,"DeletionYH","Deletion","YH"
"55",55,55,"E7","DeletionNA","YHNA",NA,"2490YH",2490,"DeletionYH","Deletion","YH"
"56",56,56,"E8","DeletionNA","YHNA",NA,"2490YH",2490,"DeletionYH","Deletion","YH"
"57",57,57,"E9","DeletionNA","YHNA",NA,"2490YH",2490,"DeletionYH","Deletion","YH"
"58",58,58,"E10","DeletionNA","YHNA",NA,"2490YH",2490,"DeletionYH","Deletion","YH"
"59",59,59,"E11","DeletionNA","YHNA",NA,"2490YH",2490,"DeletionYH","Deletion","YH"
"60",60,60,"E12","DeletionNA","YHNA",NA,"2490YH",2490,"DeletionYH","Deletion","YH"
"61",61,61,"F1","DeletionGlu","EVGlu","Glu","2490EV",2490,"DeletionEV","Deletion","EV"
"62",62,62,"F2","DeletionSer","EVSer","Ser","2490EV",2490,"DeletionEV","Deletion","EV"
"63",63,63,"F3","DeletionGlu","EVGlu","Glu","2490EV",2490,"DeletionEV","Deletion","EV"
"64",64,64,"F4","DeletionSer","EVSer","Ser","2490EV",2490,"DeletionEV","Deletion","EV"
"65",65,65,"F5","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"66",66,66,"F6","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"67",67,67,"F7","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"68",68,68,"F8","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"69",69,69,"F9","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"70",70,70,"F10","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"71",71,71,"F11","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"72",72,72,"F12","DeletionNA","EVNA",NA,"2490EV",2490,"DeletionEV","Deletion","EV"
"73",73,73,"G1","ControlGlu","YHGlu","Glu","2491YH",2491,"ControlYH","Control","YH"
"74",74,74,"G2","ControlSer","YHSer","Ser","2491YH",2491,"ControlYH","Control","YH"
"75",75,75,"G3","ControlGlu","YHGlu","Glu","2491YH",2491,"ControlYH","Control","YH"
"76",76,76,"G4","ControlSer","YHSer","Ser","2491YH",2491,"ControlYH","Control","YH"
"77",77,77,"G5","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"78",78,78,"G6","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"79",79,79,"G7","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"80",80,80,"G8","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"81",81,81,"G9","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"82",82,82,"G10","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"83",83,83,"G11","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"84",84,84,"G12","ControlNA","YHNA",NA,"2491YH",2491,"ControlYH","Control","YH"
"85",85,85,"H1","ControlGlu","EVGlu","Glu","2491EV",2491,"ControlEV","Control","EV"
"86",86,86,"H2","ControlSer","EVSer","Ser","2491EV",2491,"ControlEV","Control","EV"
"87",87,87,"H3","ControlGlu","EVGlu","Glu","2491EV",2491,"ControlEV","Control","EV"
"88",88,88,"H4","ControlSer","EVSer","Ser","2491EV",2491,"ControlEV","Control","EV"
"89",89,89,"H5","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"90",90,90,"H6","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"91",91,91,"H7","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"92",92,92,"H8","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"93",93,93,"H9","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"94",94,94,"H10","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"95",95,95,"H11","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
"96",96,96,"H12","ControlNA","EVNA",NA,"2491EV",2491,"ControlEV","Control","EV"
