"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"1","As_1_Mm_2490γ",0.316272148385742,0.0484715226451666,0.341078775452024,5.01135347411954,2.03222020966075,5.80096717698457,5.7817342544498,0.0145886865428034,""
"2","As_5_Mm_2490γ",0.306122852734641,0.0251068991999426,0.54522454600963,4.42986065585612,1.27130589705274,5.89263835874257,5.88816343401437,0.00527671609848451,""
"3","Glu_1_Mm_2490γ",0.597399865293442,0.0195306358257327,0.429721789799727,7.88268916346557,1.61301380803377,9.485777327169,9.5517996687634,0.020032513432353,""
"4","Glu_5_Mm_2490γ",3371247.8006298,0.0570428835715167,0.063964617760439,279.760062067454,10.836415581438,3.20472288644639,3.21940185583869,0.0156571818991847,""
"5","Ser_1_Mm_2490γ",0.155403220181397,0.0502604901223252,0.19196204992233,3.84502810575734,3.61085527499003,2.80762851498619,2.80468180096418,0.00979546226778936,""
"6","Ser_5_Mm_2490γ",0.130547671288098,0.0385823955230983,0.331007635711235,2.62415387697102,2.0940519365077,2.6313453688515,2.63238813735843,0.00501151842013099,""
"7","Thr_1_Mm_2490γ",2426943.84516235,0.0470256468591116,0.0757049368053435,234.584509612934,9.15590461877277,3.15365737479212,3.17748011349099,0.0203578774305967,""
"8","Thr_5_Mm_2490γ",1934593.09675152,0.0485926745259568,0.08020903887414,218.176034600207,8.64175896244807,3.49300387151979,3.51840978956993,0.0216842054955651,""
"9","As_1_Mm_2491γ",0.222184190278981,0.025080545171423,0.513824272592848,4.01233916890425,1.34899656853928,4.35273338845325,4.34558962375268,0.00987495555791762,""
"10","As_5_Mm_2491γ",0.235265671577244,0.0134362695266901,0.719835569964954,3.89526582546151,0.962924325334037,4.67215697991951,4.67279328650901,0.00384659498689724,""
"11","Glu_1_Mm_2491γ",0.578655278246648,0.017769219807192,0.406526571134305,8.4915729732681,1.70504766422992,8.83753321541161,8.87054800875804,0.0139582402833915,""
"12","Glu_5_Mm_2491γ",0.085728677940156,0.0141830388728416,1.28309514862411,1.26123830436327,0.540214949221203,1.92322342684294,1.92523358180287,0.00545911054929428,""
"13","Ser_1_Mm_2491γ",0.452928280517723,0.0261993294749941,0.374483114706022,7.45137793704401,1.85094374977115,7.35161949316626,7.35771040819176,0.0200344468901454,""
"14","Ser_5_Mm_2491γ",0.488230307707342,0.0239433283098211,0.372050692265664,7.96884186790796,1.86304499620444,7.68443226894328,7.7210848040251,0.0307501285860646,""
"15","Thr_1_Mm_2491γ",0.378721134735849,0.0315896391490974,0.183138640549342,13.0877594099751,3.78482213519104,4.16085886211545,4.17873662321321,0.025098478828295,""
"16","Thr_5_Mm_2491γ",0.573356111564721,0.0287312321045232,0.165998616333432,17.72371704284,4.17562023027746,4.39544013696033,4.43101293792471,0.0249277514959262,""
"17","As_1_Mm_2492γ",0.239710767471502,0.0349293757575282,0.390854631068367,4.52499394983225,1.77341427083846,4.53279754066107,4.51875881165058,0.0120963763589042,""
"18","As_5_Mm_2492γ",0.304752527589507,0.0296524376788599,0.398744244187794,5.58651489024993,1.73832523143205,5.48387772520117,5.46305655331725,0.010002774975316,""
"19","Glu_1_Mm_2492γ",0.566710631510094,0.0117996744084806,0.47993780640101,8.02340568563883,1.44424375682709,8.93693291948247,8.97976069126876,0.013004437275256,""
"20","Glu_5_Mm_2492γ",0.112670672448057,0.03953706969929,0.2515000130017,2.44552368209977,2.75605226531443,2.21852771655217,2.21460656541935,0.0162730403956762,""
"21","Ser_1_Mm_2492γ",0.125329156047259,0.0265521964829033,0.400455224028717,3.28064617869696,1.73089808540053,2.50176105857242,2.49243784277242,0.0161942252539549,""
"22","Ser_5_Mm_2492γ",0.100171869939499,0.020862535152215,0.536942674788146,2.48704549913429,1.29091467880334,2.09500185412842,2.09511122735307,0.00407105231277379,""
"23","Thr_1_Mm_2492γ",0.200551313676236,0.026251740903325,0.498591243868502,3.79678387403644,1.39021129850158,3.96248356321186,3.9599963919498,0.00788680557084668,""
"24","Thr_5_Mm_2492γ",2719153.93075125,0.0499546348297474,0.0744792392199401,239.160220915379,9.30658244927898,3.28785583266315,3.30991979821321,0.0265649501980852,""
"25","As_1_Mm_2493γ",0.272549753159556,0.0297247609104034,0.368347463728288,5.70211768787417,1.88177535836448,4.85787494810868,4.83952818166131,0.0107825573686065,""
"26","As_5_Mm_2493γ",0.313708221347639,0.0188188035769347,0.484178181654178,5.68332893772069,1.43159524080955,5.65466744768541,5.64914493041399,0.00622570662581067,""
"27","Glu_1_Mm_2493γ",0.597748132688987,0.0112276322362883,0.495935609089861,7.97649865236134,1.39765559854031,9.45761184710365,9.48372589625804,0.0147904664980906,""
"28","Glu_5_Mm_2493γ",2093922.47462838,0.0460225107657465,0.0643280287226485,274.11339369455,10.7751969759319,2.59957256659785,2.60988364430287,0.0164295228112275,""
"29","Ser_1_Mm_2493γ",0.520095207198484,0.0108683544319314,0.493235239414656,7.79960146723776,1.40530749867453,8.31858722439812,8.38438514027778,0.0271667408112173,""
"30","Ser_5_Mm_2493γ",0.526008853356623,0.00754016214924253,0.515861938670299,8.20110118292265,1.34366800223064,8.20970774347353,8.32837805805019,0.0374657042753668,""
"31","Thr_1_Mm_2493γ",0.449671111417921,0.0363849857043463,0.181407965989025,13.3951336110162,3.82093022641508,4.83324773587246,4.85060338834942,0.0233743188143822,""
"32","Thr_5_Mm_2493γ",0.444822573724616,0.0235509135154367,0.227809981074365,12.6601708821655,3.04265501138722,5.01243027181564,5.06444385793543,0.0263185270938431,""
"33","As_1_Csm_2490γ",0.363145224508979,0.0207067264197519,0.462628780492399,6.06454591015261,1.49827941924018,6.40775412379537,6.40783001499464,0.00756783587808128,""
"34","As_5_Csm_2490γ",0.577446345969204,0.0285709162893508,0.375780065032423,7.86492552233889,1.84455548619946,9.14827644389675,9.14753661318104,0.016336830697412,""
"35","Glu_1_Csm_2490γ",0.283318364221533,0.0375682439860208,0.12427999372529,15.1122966238348,5.57730298966774,2.81138474167442,2.81056484985843,0.00914304964357126,""
"36","Glu_5_Csm_2490γ",0.0743916856450904,0.0106539560844476,1.12389355090225,1.59165020574036,0.616737394750147,1.64456576007526,1.64090924543543,0.00738678791389496,""
"37","Ser_1_Csm_2490γ",0.314109889153268,0.0522961029423658,0.240759351425569,6.69013123316426,2.87900418594636,5.16896065762651,5.14180311904654,0.0206476607094774,""
"38","Ser_5_Csm_2490γ",0.185181885750504,0.0191013994199094,0.487019633588336,4.4407058333623,1.42324278685209,3.55029768408244,3.54083998279386,0.0109098160956097,""
"39","Thr_1_Csm_2490γ",0.376169629095287,0.0361732502934074,0.316010368913657,7.09032134345775,2.19343176283349,6.18484909319323,6.17577840345882,0.0239558354254123,""
"40","Thr_5_Csm_2490γ",0.4335863143839,0.0445123308739436,0.242587640664595,8.93698978022344,2.85730624470807,6.31391730101252,6.31311727998928,0.0194963265402113,""
"41","As_1_Csm_2491γ",0.382442925858722,0.0309505469399081,0.381180448482508,6.37440185715752,1.81842270063794,6.59469407496861,6.57511466318104,0.0102392360298064,""
"42","As_5_Csm_2491γ",0.511263744620658,0.0328486030215111,0.335627532609761,7.98078040190132,2.06522741197718,8.01247948931061,7.98673921428679,0.0168932740503397,""
"43","Glu_1_Csm_2491γ",0.127683879120992,0.0368954438540381,0.165963080159249,5.42556718697589,4.17651431809315,2.12376043673282,2.1221551871021,0.0102674800103203,""
"44","Glu_5_Csm_2491γ",0.0701123029406159,0.00382244964709893,1.68990535356226,1.6883462444614,0.410169231725798,1.5504990299474,1.55048265138889,0.00249739613020964,""
"45","Ser_1_Csm_2491γ",0.426096068704728,0.0207184241635806,0.447915606553525,6.63918757053584,1.54749504241066,7.28051791693651,7.29157891737451,0.0229569206685375,""
"46","Ser_5_Csm_2491γ",0.455767010779587,0.0356367041997892,0.34114772693348,7.23202471704581,2.03180946503888,7.46340954235671,7.43960282916666,0.01344589432914,""
"47","Thr_1_Csm_2491γ",0.436848958123065,0.0467663812622853,0.255084119161211,8.31566411713768,2.71732784792409,6.61851393589755,6.60413434764693,0.0175473240506744,""
"48","Thr_5_Csm_2491γ",0.37055820393721,0.045305976972883,0.25443378765204,7.7472493598386,2.72427332453142,5.79599273058145,5.78615135070785,0.018696100336909,""
"49","As_1_Csm_2492γ",0.390623973550564,0.0213234897373995,0.449090988109489,6.3501638594409,1.54344486732599,6.78190906632817,6.77931356349099,0.00557159580968757,""
"50","As_5_Csm_2492γ",0.535454080287465,0.0241008975176181,0.38197235787348,7.99746727038195,1.81465272623087,8.41956359549678,8.4315974963728,0.013135904377883,""
"51","Glu_1_Csm_2492γ",0.329505621143257,0.0321212346509242,0.12088698180936,18.4098252125748,5.73384470507377,2.64779171316703,2.65461413806628,0.0135386465195076,""
"52","Glu_5_Csm_2492γ",0.0738355111504143,0.00773076994195118,1.3287617133869,1.61506159339688,0.521648971050778,1.63455070640751,1.63261690223831,0.00358974304579704,""
"53","Ser_1_Csm_2492γ",0.391559280657185,0.0545393498883206,0.176426131151015,10.3228450401814,3.92882378612402,5.15399853985501,5.13282653917203,0.019061394674158,""
"54","Ser_5_Csm_2492γ",0.234627359278526,0.0319515156188096,0.338925919529309,5.45071400602033,2.04512886332969,4.21371646295349,4.19319644098562,0.0155307670375373,""
"55","Thr_1_Csm_2492γ",0.397279473291654,0.0404744789375224,0.29819748616884,7.29891388558154,2.32445682042901,6.43628308855018,6.4301815312366,0.0204236032487005,""
"56","Thr_5_Csm_2492γ",0.405570955553277,0.0383055546228853,0.261799772818115,8.6344224468732,2.64762330806722,6.04032163321112,6.03538573942836,0.0144670034037283,""
"57","As_1_Csm_2493γ",0.373594905860031,0.0132680916960169,0.52997095864362,6.22986854426766,1.30789653518742,6.55214300893398,6.53937807970614,0.00508146996861564,""
"58","As_5_Csm_2493γ",0.541433507209338,0.0218958503140951,0.421597404031288,7.51105706283895,1.64409736381703,8.78718768181577,8.78716343140497,0.00890767087579324,""
"59","Glu_1_Csm_2493γ",0.287567998836157,0.0289723136242093,0.125878069654749,17.3892491016589,5.50649674292803,2.45094826263514,2.4541998125,0.0125499062671136,""
"60","Glu_5_Csm_2493γ",0.0677221608169259,0.00563368603632319,1.5719345436695,1.52665163367385,0.440951681704171,1.50709734833252,1.50447724112719,0.00552316487543592,""
"61","Ser_1_Csm_2493γ",0.469121959696258,0.0177435070612339,0.484402922353981,6.68098050143448,1.43093104639328,8.01070731985359,8.03168759863792,0.0212084700363797,""
"62","Ser_5_Csm_2493γ",0.484367517852582,0.0270874278674512,0.386891927649864,7.30495051881693,1.7915782962193,7.93715740404382,7.93871849112719,0.0149006793611878,""
"63","Thr_1_Csm_2493γ",0.379591066677934,0.0204140472621382,0.419765735534192,6.83141061631283,1.65127146377931,6.40553027662598,6.41019626388889,0.0118095823718238,""
"64","Thr_5_Csm_2493γ",0.382360150806021,0.0263200951034256,0.37733868035337,6.90284525906336,1.83693646225409,6.40400533776832,6.41415504821321,0.0155677211172714,""
"65","As_1_Mm_2490β",0.254953310336671,0.0204881112864746,0.447051975307905,5.45230202734404,1.55048454954828,4.63936967300796,4.61456121675001,0.00975588037795168,""
"66","As_5_Mm_2490β",0.290096331362119,0.0124810578946146,0.567628992455428,5.46487963352734,1.2211271618836,5.30694272159615,5.29313829369432,0.00809226286386888,""
"67","Glu_1_Mm_2490β",0.5427267472955,0.00734214256383131,0.549382986304268,7.80758556496879,1.26168301137752,8.68575678328948,8.69775439705553,0.0119835309306421,""
"68","Glu_5_Mm_2490β",0.270232570257608,0.0177244328250126,0.243001797511527,10.9320154399622,2.85243643322048,3.45896223939512,3.46107203277792,0.0116630438960983,""
"69","Ser_1_Mm_2490β",0.364563796288089,0.0201315452829989,0.199743322259307,14.2162920802655,3.47018950480908,3.65268099927029,3.64491663324999,0.0146847996139955,""
"70","Ser_5_Mm_2490β",0.107452456696711,0.0235958446628002,0.139328355500174,9.10107431608122,4.97491826463909,1.48522040200931,1.48162442336107,0.00819716916519174,""
"71","Thr_1_Mm_2490β",0.505510146020603,0.0316609401107811,0.130793137071382,20.6876710254282,5.29956843363769,3.30611536806982,3.30371993005547,0.0185446353662376,""
"72","Thr_5_Mm_2490β",0.394236991375149,0.0195514043449494,0.177378429094099,16.648248253355,3.90773096875399,3.2683350747094,3.29714405901437,0.0181751929632068,""
"73","As_1_Mm_2491β",0.209596015598122,0.0171357670084576,0.510040279992164,4.74221705510562,1.35900478403509,3.96696084620688,3.94534418716661,0.00985471511680368,""
"74","As_5_Mm_2491β",0.201568696093337,0.00581086220021371,0.888010240868949,3.96070814601719,0.780562147438386,3.99960240500303,3.99452561397224,0.00491586805777195,""
"75","Glu_1_Mm_2491β",0.497542671009457,0.0106003896035878,0.486586018013299,7.86552572454372,1.42451109341371,7.92441678214906,7.93081806202793,0.0128333517774735,""
"76","Glu_5_Mm_2491β",0.0528947769639627,0.000828324530565617,1.88234194345483,2.19985061948586,0.368236591109345,1.14399723320471,1.14412901763882,0.0066279170783778,""
"77","Ser_1_Mm_2491β",0.421849040495609,0.011455899154468,0.485210791423219,7.37537342021201,1.42854856654529,6.9202700448079,6.92279560180562,0.0233414582285148,""
"78","Ser_5_Mm_2491β",0.618598646503474,0.00492145692977198,0.451088050544333,10.6982759210386,1.5366117096729,8.11969610097423,8.20861275206993,0.0228640673065252,""
"79","Thr_1_Mm_2491β",0.318123000297065,0.0285855738101593,0.182108788952001,12.7142814105472,3.80622585295782,3.59011275936756,3.58578585736915,0.0132576776845387,""
"80","Thr_5_Mm_2491β",0.428120086153773,0.0130322196983235,0.249942319287623,13.8474569034646,2.77322856943766,4.3589319626915,4.38063243430549,0.0138422130172026,""
"81","As_1_Mm_2492β",0.225680180548564,0.0226611914115247,0.39659801743245,5.52863501298899,1.74773233877299,4.07179993599826,4.04783058102763,0.0110947706267994,""
"82","As_5_Mm_2492β",0.302817037150398,0.00695569559590813,0.671312095580327,5.58656710403966,1.03252598176522,5.51576756879306,5.51431373602776,0.00821086870925486,""
"83","Glu_1_Mm_2492β",0.541922256923733,0.00740255343668364,0.580282607435288,7.37492997144531,1.19449932098343,8.90785689118366,8.90694574697218,0.01499578654069,""
"84","Glu_5_Mm_2492β",0.309054889685769,0.0252101299791205,0.186481408793359,12.9835010716759,3.71697739225053,3.4187102993999,3.42454979013621,0.0116539213499758,""
"85","Ser_1_Mm_2492β",1671604.87619375,0.0304078288873928,0.0833051576072957,213.940533754131,8.32057942711629,2.29372613731762,2.29476398299994,0.0136382490920386,""
"86","Ser_5_Mm_2492β",691020.354039503,0.0235668179917459,0.0714970336991772,240.483264943438,9.6947683658647,1.482303931311,1.48699977987451,0.00886546883719997,""
"87","Thr_1_Mm_2492β",0.684519587342097,0.0220570658526159,0.129542940114665,26.2641174001498,5.35071367028111,2.72364023088851,2.74381539875268,0.0236869952046484,""
"88","Thr_5_Mm_2492β",0.342781175771541,0.00943643644199776,0.229127474738796,15.557273515295,3.02515960318652,3.00517208060704,3.05292482786112,0.0178755514722964,""
"89","As_1_Mm_2493β",0.263749028015259,0.0194017689898494,0.399679677332602,6.33814102381128,1.73425675577477,4.56523454277367,4.53876940988892,0.0121438915107649,""
"90","As_5_Mm_2493β",0.282644014272086,0.0113290633960529,0.580750041302881,5.46863313778782,1.19353789283408,5.17153612503466,5.15363937417739,0.00647363066664406,""
"91","Glu_1_Mm_2493β",0.647358585283882,0.0373453387694654,0.331414276974915,8.42834108690256,2.09148256039799,9.87003058655913,9.77059849056091,0.0362009149744519,""
"92","Glu_5_Mm_2493β",0.305595957483034,0.0154813159623604,0.187182646562439,15.656591779399,3.70305257078803,2.73442552345884,2.76067588137817,0.0167632639127428,""
"93","Ser_1_Mm_2493β",0.5066800275285,0.00506969001185362,0.585234694704646,7.85077160611897,1.18439181209132,8.09077865042119,8.15442607752773,0.025930924157155,""
"94","Ser_5_Mm_2493β",0.526225771436666,0.00387989728617764,0.65512821973397,7.48330042012647,1.05803285476149,8.59930015259568,8.64835755014157,0.0204752097936941,""
"95","Thr_1_Mm_2493β",0.364089528273698,0.00907698043068633,0.332036408756562,11.042197339137,2.0875637799954,4.64597717275653,4.68747548526169,0.0131622247770019,""
"96","Thr_5_Mm_2493β",0.306329195698124,0.00576474972201224,0.402776875754407,9.8166024219597,1.72092099195534,4.28278973332836,4.33569462344442,0.019821676601981,""
